#
#
# US Geological Survey
# retrieved: 2024-08-07 14:13:43 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:13:43 EDT
#
# there are 128 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
USGS	15238990	UPPER BRADLEY R NR NUKA GLACIER NR HOMER AK	ST	59.69996880	-150.70461600	T	NAD83	 1250			19020301	
USGS	15239001	BRADLEY R BL DAM NR HOMER AK	ST	59.75774070	-150.85267780	S	NAD83	 1054.16			19020301	
USGS	15239050	MF BRADLEY R NR HOMER AK	ST	59.77774568	-150.75629480	R	NAD83	 2300			19020301	9.1
USGS	15239060	MF BRADLEY R BL NF BRADLEY R NR HOMER AK	ST	59.79774138	-150.86546320	S	NAD83	 225			19020301	
USGS	15239070	BRADLEY R NR TIDEWATER NR HOMER AK	ST	59.80105909	-150.88492200	S	NAD83	11.6			19020301	
USGS	15239500	FRITZ C NR HOMER AK	ST	59.70772770	-151.34518370	F	NAD83	 250			19020301	10.3
USGS	15239900	ANCHOR R NR ANCHOR POINT AK	ST	59.74659940	-151.75521270	F	NAD83	159.5			19020301	134
USGS	15241600	NINILCHIK R AT NINILCHIK AK	ST	60.04841667	-151.66491670	5	NAD83	 25			19020301	135
USGS	15242000	KASILOF R NR KASILOF AK	ST	60.31747670	-151.26193780	F	NAD83	 23.37			19020301	738
USGS	15243900	SNOW R NR SEWARD AK	ST	60.29442670	-149.34603490	T	NAD83	459.7			19020302	150
USGS	15258000	KENAI R AT COOPER LANDING AK	ST	60.49220087	-149.80994630	T	NAD83	426.0			19020302	643
USGS	15260001	COOPER C AT SIPHON OUTLET NR COOPER LANDING AK	ST	60.43441667	-149.82452780	S	NAD83	 1180			19020302	
USGS	15261000	COOPER C AT MOUTH NR COOPER LANDING AK	ST	60.47997720	-149.88272470	R	NAD83	436.9			19020302	16.8
USGS	15266110	KENAI R BL SKILAK LK OUTLET NR STERLING AK	ST	60.46607630	-150.60107140	S	NAD83	181.7			19020302	1250
USGS	15266150	KENAI R BL MOUTH OF KILLEY R NR STERLING AK	ST	60.49054390	-150.63275920	S	NAD83	 230			19020302	1500
USGS	15266300	KENAI R AT SOLDOTNA AK	ST	60.47692890	-151.08166750	T	NAD83	 40.40			19020302	2020
USGS	15266500	BEAVER C NR KENAI AK	ST	60.56329197	-151.11969920	U	NAD83	15.9			19020302	42.7
USGS	15269500	GRANITE C NR PORTAGE AK	ST	60.72720950	-149.28547790	U	NAD83				19020302	28.1
USGS	15271000	SIXMILE C NR HOPE AK	ST	60.82026920	-149.42746060	T	NAD83	261.4			19020302	234
USGS	15272280	PORTAGE C AT PORTAGE LK OUTLET NR WHITTIER AK	ST	60.78471779	-148.84103190	M	NAD83	 95.			19020302	40.7
USGS	15272380	TWENTYMILE R BL GLACIER R NR PORTAGE AK	ST	60.89748330	-148.92410740	R	NAD83	 50.			19020302	140
USGS	15272502	GLACIER C AT ALYESKA HIGHWAY AT GIRDWOOD, AK	ST	60.96161940	-149.13191940	S	NAD83	80.5			19020302	44.3
USGS	15273045	RABBIT C AT OLD SEWARD HWY NR ANCHORAGE AK	ST	61.08361237	-149.82580320	U	NAD83	 75			19020401	13.7
USGS	15274000	SF CAMPBELL C NR ANCHORAGE AK	ST	61.16667096	-149.77275270	S	NAD83	 260.00			19020401	26.8
