ID,link_id,longitd,latitud,snowy,dailyGg,bsnTypN,basnTyp,rfc
15292000,75000700033596,-149.693511962891,62.7679252624512,1,0,snowy,0,APRFC
15292700,75000300025361,-150.021118164062,62.3463172912598,1,0,snowy,0,APRFC
15290000,75000200002092,-149.232879638672,61.7071380615234,1,0,snowy,0,APRFC
15292800,75000200018814,-150.06965637207,62.1044998168945,1,0,snowy,0,APRFC
15200280,19020190011954,-145.514663696289,62.5102272033691,1,0,snowy,0,APRFC
15294005,75000200011336,-149.889587402344,61.7792472839355,1,0,snowy,0,APRFC
15209700,19020190030500,-142.951049804688,61.4286041259766,1,0,snowy,0,APRFC
15293200,75000200018806,-150.071472167969,61.9238662719727,1,0,snowy,0,APRFC
15243900,75004400006815,-149.343612670898,60.2943687438965,1,0,snowy,0,APRFC
15293700,75000200008551,-150.097274780273,61.8097763061523,1,0,snowy,0,APRFC
15258000,75004400010832,-149.834213256836,60.4903221130371,1,0,snowy,0,APRFC
15266110,75004400010513,-150.585662841797,60.4659996032715,1,0,snowy,0,APRFC
15283700,75000400014403,-149.079803466797,61.6920890808105,1,0,snowy,0,APRFC
15281000,75000400019328,-149.032073974609,61.5041580200195,1,0,snowy,0,APRFC
15284000,75000400009620,-149.068313598633,61.607307434082,1,0,snowy,0,APRFC
15272380,75004400011711,-148.925079345703,60.896800994873,1,0,snowy,0,APRFC
15238978,75004300000956,-150.852752685547,59.7445526123047,1,0,snowy,0,APRFC
15271000,75004400006721,-149.424499511719,60.8239402770996,1,0,snowy,0,APRFC
15226620,19020209000240,-145.907302856445,61.0668640136719,1,0,snowy,0,APRFC
15239050,75004300004059,-150.765167236328,59.774787902832,1,0,snowy,0,APRFC
15276000,75000100003094,-149.642913818359,61.2255020141602,1,0,snowy,0,APRFC
15236900,19020209002484,-148.893692016602,60.3682327270508,1,0,snowy,0,APRFC
15274600,75000100000004,-149.898590087891,61.143482208252,1,0,snowy,0,APRFC
15275100,75000100004336,-149.869171142578,61.2015953063965,1,0,regular,3,APRFC
15238600,75004200000096,-149.447814941406,60.0717582702637,1,0,snowy,0,APRFC
15238986,75004300008012,-150.966690063477,59.7629814147949,1,0,snowy,0,APRFC
