RFC,Gauge ID,Gauge ID,Gauge ID
ABRFC,JOPM7,RNDO2,CSNC2
CBRFC,ALEC2,BERU1,OAKA3
CNRFC,CREC1,HPIC1,PRBC1
LMRFC,WDVA1,BDCL1,PLAM6
MARFC,CRTN6,FDKM2,LODN4
MBRFC,BLRM7,DUBW4,PGEN8
NCRFC,KALI4,HWYM5,HHTM4
NERFC,NRWM3,CENV1,CHRN6
NWRFC,FSSO3,DRSW1,WGCM8
OHRFC,DLYW2,DEPI3,LARO1
SERFC,VDSG1,CATA1,MKHF1
WGRFC,KLGT2,ATIT2,SDAT2
